OrderID,OrderDate,Date,Month,Year,CustomerID,Region,Category,SubCategory,Product,Quantity,UnitPrice,Sales,Profit
1001,13-04-2023,13,4,2023,CUST436,North,Furniture,Tables,Table B,8,705,5640,955.25
1002,02-05-2023,2,5,2023,CUST467,North,Furniture,Chairs,Chair C,7,335,2345,332.64
1003,10-04-2023,10,4,2023,CUST360,West,Furniture,Chairs,Chair C,8,135,1080,58.45
1004,15-09-2023,15,9,2023,CUST344,North,Technology,Accessories,Accessory B,6,390,2340,202.09
1005,04-10-2023,4,10,2023,CUST161,East,OfficeSupplies,Paper,Paper A,6,257,1542,210.31
1006,18-02-2023,18,2,2023,CUST475,West,OfficeSupplies,Binders,Binder A,3,880,2640,403.52
1007,16-11-2023,16,11,2023,CUST131,East,OfficeSupplies,Paper,Paper B,5,823,4115,765.64
1008,25-11-2023,25,11,2023,CUST167,North,OfficeSupplies,Art,Art B,2,392,784,186.94
1009,14-01-2023,14,1,2023,CUST242,West,OfficeSupplies,Art,Art A,9,350,3150,219.03
1010,06-12-2023,6,12,2023,CUST092,South,Furniture,Tables,Table A,7,432,3024,450.68
1011,04-02-2023,4,2,2023,CUST206,South,OfficeSupplies,Binders,Binder A,1,936,936,80.91
1012,02-01-2023,2,1,2023,CUST390,East,Furniture,Chairs,Chair B,6,110,660,107.94
1013,10-07-2023,10,7,2023,CUST402,West,OfficeSupplies,Paper,Paper B,2,206,412,94.33
1014,27-09-2023,27,9,2023,CUST351,East,OfficeSupplies,Binders,Binder A,8,466,3728,332.52
1015,09-07-2023,9,7,2023,CUST296,East,Technology,Accessories,Accessory A,5,724,3620,722.06
1016,22-02-2023,22,2,2023,CUST280,North,Technology,Laptops,Laptop A,9,768,6912,1184.76
1017,10-02-2023,10,2,2023,CUST157,East,OfficeSupplies,Art,Art A,1,861,861,212.99
1018,10-12-2023,10,12,2023,CUST129,South,Furniture,Chairs,Chair C,8,476,3808,201.12
1019,22-03-2023,22,3,2023,CUST392,West,Technology,Phones,Phone C,3,423,1269,259.2
1020,18-09-2023,18,9,2023,CUST490,North,Technology,Accessories,Accessory A,7,45,315,73.39
1021,20-07-2023,20,7,2023,CUST328,East,Technology,Phones,Phone C,2,37,74,4.64
1022,03-03-2023,3,3,2023,CUST216,North,OfficeSupplies,Art,Art B,5,103,515,86.65
1023,02-08-2023,2,8,2023,CUST475,South,OfficeSupplies,Binders,Binder B,3,965,2895,366.46
1024,11-05-2023,11,5,2023,CUST257,West,Technology,Accessories,Accessory A,5,222,1110,107.89
1025,25-12-2023,25,12,2023,CUST283,West,Technology,Phones,Phone B,9,211,1899,257.33
1026,11-02-2023,11,2,2023,CUST380,South,Furniture,Bookcases,Bookcase B,3,579,1737,398.04
1027,29-08-2023,29,8,2023,CUST052,South,OfficeSupplies,Binders,Binder A,4,738,2952,229.86
1028,19-08-2023,19,8,2023,CUST237,East,OfficeSupplies,Paper,Paper B,4,529,2116,138.38
1029,06-07-2023,6,7,2023,CUST243,West,Technology,Laptops,Laptop A,6,800,4800,1132.51
1030,14-02-2023,14,2,2023,CUST062,South,Technology,Laptops,Laptop B,9,650,5850,826.65
1031,18-04-2023,18,4,2023,CUST044,East,Furniture,Chairs,Chair A,4,802,3208,727.11
1032,08-05-2023,8,5,2023,CUST348,West,Furniture,Chairs,Chair C,9,235,2115,489.34
1033,10-10-2023,10,10,2023,CUST446,South,Technology,Phones,Phone B,9,632,5688,685.48
1034,16-09-2023,16,9,2023,CUST359,West,Technology,Accessories,Accessory A,6,460,2760,432.82
1035,14-11-2023,14,11,2023,CUST165,North,OfficeSupplies,Binders,Binder A,1,823,823,85.5
1036,01-06-2023,1,6,2023,CUST463,South,Technology,Phones,Phone A,6,676,4056,623.64
1037,21-08-2023,21,8,2023,CUST180,North,Technology,Accessories,Accessory B,1,834,834,203.79
1038,21-02-2023,21,2,2023,CUST268,North,Technology,Accessories,Accessory B,7,390,2730,525.4
1039,11-04-2023,11,4,2023,CUST113,North,Furniture,Chairs,Chair B,8,85,680,70.28
1040,02-01-2023,2,1,2023,CUST130,North,Technology,Phones,Phone A,6,859,5154,544.93
1041,13-08-2023,13,8,2023,CUST385,North,Technology,Phones,Phone C,3,642,1926,152.11
1042,21-06-2023,21,6,2023,CUST218,East,Technology,Accessories,Accessory A,6,420,2520,424.72
